ตารางวันและเวลาเรียนรายวิชาเพิ่มเติม สำหรับนักเรียนชั้นมัธยมศึกษาปีที่ 4 ภาคเรียนที่ 2 ปีการศึกษา 2566,,,,,,,,,,,,,,
ลำดับ,รหัสวิชา,ชื่อรายวิชา,นก.,"คาบ/
 สัปดาห์",กลุ่ม,อาจารย์ผู้สอน,"จำนวน
 รับ","จำนวน
 เลือก","จำนวน
 เลือก (Update)","เวลาเรียน
 (9 ต.ค. 66 - 1 ธ.ค. 66)","ห้องเรียน
(9 ต.ค. 66 - 1 ธ.ค. 66)","เวลาเรียน
(4 ธ.ค. 66 - ปิดภาคเรียน)","ห้องเรียน
(4 ธ.ค. 66 - ปิดภาคเรียน)",หมายเหตุ
56,ญ31202,ภาษาญี่ปุ่น 2,3,6,1,อ.ดร.กวิตา ฟองสถาพร,11,11,11,"จ.3-4, พ.3-4, พฤ.3-4",ม.4/7,"จ.3-4, พ.3-4, พฤ.3-4",ม.4/7,
57,ป30215,ภาษาสเปนเบื้องต้น,1,2,1,อ.เบญจมาศ วงศ์สาม,25,4-1,3,พฤ.7-8,ม.6/7,พฤ.7-8,ม.6/7,
58,ฝ31202,ภาษาฝรั่งเศส 2,3,6,1,อ.ณิชาภัทร วินัยธรรมกุล,8,8-1,7,"จ.3-4, พ.3-4, พฤ.3-4",ม.4/4,"จ.3-4, พ.3-4, พฤ.3-4",ม.4/4,
59,ย30232,ภาษาเยอรมันเบื้องต้น 2,1,2,1,อ.ณัฏฐริญา ชินะพัฒนวงศ์,12,8 -1 -1-1+1,6,พฤ.7-8,ม.4/6,พฤ.7-8,ม.4/6,
60,ย31202,ภาษาเยอรมัน 2,3,6,1,อ.ณัฏฐริญา ชินะพัฒนวงศ์,2,2,2,"จ.3-4, พ.3-4, พฤ.3-4",ห้องปฏิบัติการชมรมภาษาอังกฤษ,"จ.3-4, พ.3-4, พฤ.3-4",ห้องปฏิบัติการชมรมภาษาอังกฤษ,
61,อ30220,ภาษาอังกฤษผ่านสื่อสังคม (Social Media),1,2,1,อ.พิทยารัตน์ ลิมานนท์ดำรง,35,8 -1 -1+1+1+1,9,จ.1-2,ม.2/3,จ.1-2,ม.2/3,
62,อ30235,ภาษาพา(ตะ)ลุยโลกกว้างทางอาชีพ,0.5,1,1,อ.พิสันธนีย์ ศรีดุรงฤทธิ์,12,11,11,พฤ.8,ม.2/4,พฤ.8,ม.2/4,
63,อ31202,ภาษาอังกฤษอ่าน-เขียน 2,1,2,1,อ.พรพรรณ วิมุกตะลพ,35,15-1-1-1-1+1-1,11,จ.3-4,ม.4/3,จ.3-4,ม.4/3,
,,,,,2,อ.ศศิธร เหลือง เหลืองจินดา,35,4+1+1,6,พ.1-2,ม.5/2,พ.1-2,ม.5/2,
,,,,,3,อ.พรพรรณ วิมุกตะลพ,35,13-1-1+1-1-1-1+1-1,9,พ.3-4,ม.6/2,พ.3-4,ม.6/2,
,,,,,4,อ.พรพรรณ วิมุกตะลพ,35,5+1+1+1-1-1,6,พฤ.3-4,ห้องปฏิบัติการคณิตศาสตร์,พฤ.3-4,ห้องปฏิบัติการคณิตศาสตร์,
64,อ31208,เสริมสร้างทักษะภาษาอังกฤษ,0.5,1,1,อ.จารุภัทร สุจิณโณ (เต็ม),35,35+1-1-1-1+1-1-1+1-1-1-1-1-1+1-1+1+1+1-1-1-1-1-1+1-1-1-1-1,23,พฤ.9,ม.4/1,จ.6,ม.4/1,
65,อ31220,ทักษะการสื่อสารภาษาอังกฤษ 2,0.5,1,1,Mr.Nicholas / อ.พรพรรณ,35,31-1-1-1-1-1+1+1-1+1+1-1-1-1-1,25,พฤ.6,ม.4/3,พฤ.6,ม.4/3,
,,,,,2,Mr.Nicholas / อ.พิทยารัตน์,35,34+1+1+1-1-1-1-1+1-1-1+1+1+1-1+1+1-1+1-1,34,พฤ.0,ม.4/1,อ.6,ม.4/1,
66,อ31250,ภาษาอังกฤษสำหรับนักเรียนความสามารถสูง 2,1,2,1,อ.วราเดช กัลยาณมิตร,10,2-1,1,พ.1-2,ม.5/7,พ.1-2,ม.5/7,Update 11/10/66
67,อ31272,ภาษาอังกฤษเพื่อการสอบ 2,1,2,1,Mr.David Tu Tucker,35,5,5,"พ.2, พฤ.9","พ.2 ม.1/4, 
พฤ.9 ม.4/2","จ.6, พ.2","จ.6,พ.2 ม.1/4",ปิดรายวิชา
68,อ31273,การเรียนรู้ภาษาอังกฤษในยุคโลกาภิวัฒน์,1,2,1,อ.ธีร์ เชาว์ปรีชา,35,0+1+1+1+1+1+1+1+1+1+1,10,จ.6-7,ม.4/6,อ.7-8,ม.4/6,
